time,lat,lon,altitude_m,velocity_mps,mass_kg,fuel_remaining
0.0,28.5618582318942,-80.57736588187595,-0.039246026426553726,417.06621241879816,548778.9297435418,501394.92974354175
0.1,28.56186049642876,-80.5773656447211,-0.11777801997959614,416.9469786196209,548503.8594870835,501119.8594870835
0.2,28.56186389434983,-80.57736528762757,-0.23563599586486816,416.8310369952397,548228.7892306253,500844.78923062526
0.30000000000000004,28.561868426403574,-80.5773648096864,-0.39286003913730383,416.7183984622556,547953.718974167,500569.718974167
0.4,28.561874093336133,-80.57736420998745,-0.5894903112202883,416.60907388386255,547678.6487177088,500294.64871770877
0.5,28.561880895893633,-80.5773634876195,-0.8255670443177223,416.50307406888953,547403.5784612505,500019.5784612505
0.6,28.561888834822206,-80.57736264167013,-1.1011305442079902,416.40040977085215,547128.5082047923,499744.5082047923
0.7,28.561897910867952,-80.57736167122586,-1.4162211883813143,416.30109168700284,546853.437948334,499469.43794833403
0.7999999999999999,28.56190812477695,-80.57736057537203,-1.7708794279024005,416.2051304573793,546578.3676918758,499194.3676918758
0.8999999999999999,28.56191947729528,-80.57735935319288,-2.1651457846164703,416.1125366638658,546303.2974354175,498919.29743541754
0.9999999999999999,28.561931969168974,-80.57735800377147,-2.5990608548745513,416.0233208292439,546028.2271789593,498644.2271789593
1.0999999999999999,28.561945601144036,-80.57735652618973,-3.072665309533477,415.9374934162617,545753.156922501,498369.15692250105
1.2,28.561960373966475,-80.57735491952849,-3.5859998846426606,415.85506482669234,545478.0866660428,498094.0866660428
1.3,28.56197628838222,-80.5773531828674,-4.13910539727658,415.77604540039925,545203.0164095846,497819.01640958455
1.4000000000000001,28.561993345137196,-80.57735131528497,-4.7320227306336164,415.7004454144133,544927.9461531263,497543.9461531263
1.5000000000000002,28.562011544977285,-80.57734931585856,-5.364792843349278,415.628275082004,544652.8758966681,497268.87589666806
1.6000000000000003,28.56203088864833,-80.5773471836644,-6.037456766702235,415.5595445517548,544377.8056402098,496993.8056402098
1.7000000000000004,28.562051376896115,-80.57734491777757,-6.7500555999577045,415.4942639066496,544102.7353837516,496718.73538375157
1.8000000000000005,28.5620730104664,-80.57734251727196,-7.502630522474647,415.4324431631611,543827.6651272933,496443.6651272933
1.9000000000000006,28.562095790104884,-80.57733998122036,-8.295222776941955,415.37409227033964,543552.5948708351,496168.5948708351
2.0000000000000004,28.56211971655721,-80.57733730869438,-9.127873685210943,415.3192211089081,543277.5246143768,495893.52461437683
2.1000000000000005,28.562144790568965,-80.57733449876446,-10.00062463618815,415.2678394903684,543002.4543579186,495618.4543579186
2.2000000000000006,28.562171012885692,-80.5773315504999,-10.913517093285918,415.21995715610404,542727.3841014603,495343.38410146034
2.3000000000000007,28.56219838425287,-80.57732846296885,-11.866592591628432,415.1755837764951,542452.3138450021,495068.3138450021
2.400000000000001,28.562226905415894,-80.57732523523828,-12.859892738051713,415.1347289500361,542177.2435885438,494793.24358854385
2.500000000000001,28.56225657712012,-80.57732186637399,-13.893459211103618,415.0974022024556,541902.1733320856,494518.1733320856
2.600000000000001,28.562287400110822,-80.57731835544065,-14.967333762906492,415.06361298585523,541627.1030756274,494243.10307562735
2.700000000000001,28.5623193751332,-80.57731470150173,-16.08155821543187,415.0333706778361,541352.0328191691,493968.0328191691
2.800000000000001,28.562352502932377,-80.57731090361955,-17.23617446050048,415.0066845806492,541076.9625627109,493692.96256271086
2.9000000000000012,28.56238678425339,-80.57730696085524,-18.431224465370178,414.9835639203433,540801.8923062526,493417.8923062526
3.0000000000000013,28.562422219841228,-80.57730287226876,-19.666750269010663,414.964017845918,540526.8220497944,493142.82204979437
3.1000000000000014,28.562458810440752,-80.57729863691894,-20.9427939793095,414.9480554284958,540251.7517933361,492867.7517933361
3.2000000000000015,28.562496556796756,-80.57729425386337,-22.259397774003446,414.9356856604823,539976.6815368779,492592.6815368779
3.3000000000000016,28.562535459653937,-80.57728972215854,-23.61660390906036,414.9269174547543,539701.6112804196,492317.61128041963
3.4000000000000017,28.56257551975692,-80.57728504085968,-25.01445470470935,414.92175964384586,539426.5410239614,492042.5410239614
3.5000000000000018,28.562616737850195,-80.57728020902087,-26.452992557547987,414.92022097913855,539151.4707675031,491767.47076750314
3.600000000000002,28.56265911467818,-80.57727522569505,-27.9322599330917,414.92231013006875,538876.4005110449,491492.4005110449
3.700000000000002,28.562702650985173,-80.57727008993392,-29.452299369499087,414.92803568333863,538601.3302545866,491217.33025458665
3.800000000000002,28.562747347515387,-80.577264800788,-31.01315347198397,414.9374061421332,538326.2599981284,490942.2599981284
3.900000000000002,28.56279320501289,-80.57725935730669,-32.61486492212862,414.9504299253527,538051.1897416702,490667.18974167015
4.000000000000002,28.56284022422167,-80.57725375853809,-34.2574764713645,414.9671153668519,537776.1194852119,490392.1194852119
4.100000000000001,28.562888405885577,-80.5772480035292,-35.94103094097227,414.9874707146817,537501.0492287537,490117.04922875366
4.200000000000001,28.56293775074835,-80.5772420913258,-37.66557122115046,415.0115041303545,537225.9789722954,489841.9789722954
4.300000000000001,28.56298825955361,-80.57723602097246,-39.43114027753472,415.03922368810146,536950.9087158372,489566.90871583717
4.4,28.563039933044834,-80.57722979151256,-41.23778114374727,415.07063737415564,536675.8384593789,489291.8384593789
4.5,28.56309277196539,-80.57722340198833,-43.0855369232595,415.10575308603615,536400.7682029207,489016.7682029207
4.6,28.563146777058495,-80.57721685144072,-44.97445079404861,415.1445786318421,536125.6979464624,488741.69794646243
4.699999999999999,28.563201949067242,-80.57721013890954,-46.90456600114703,415.1871217295641,535850.6276900042,488466.6276900042
